County,Margin,2016 margin,Est. votes reported,Total votes,Absentee
Union,Trump +40,R+39.3,100%,"8,886",Ñ
Bond,Trump +41,R+37.3,100%,"8,145",Ñ
Richland,Trump +53,R+54,100%,"8,063",Ñ
Carroll,Trump +29,R+26.7,100%,"8,024",Ñ
DeWitt,Trump +43,R+41.9,100%,"8,024",Ñ
Pike,Trump +61,R+57.6,100%,"7,949",Ñ
Warren,Trump +20,R+16.5,100%,"7,909",Ñ
Menard,Trump +40,R+37.1,100%,"6,928","3,070"
Massac,Trump +48,R+49.1,100%,"6,813",Ñ
Mason,Trump +39,R+31.5,100%,"6,766","2,476"
Johnson,Trump +59,R+57.6,100%,"6,437",Ñ
Greene,Trump +55,R+52.6,100%,"6,227",Ñ
Schuyler,Trump +44,R+37.8,100%,"3,906",Ñ
Putnam,Trump +19,R+19.9,100%,"3,390",Ñ
