Name,County,State
Larimer County Government,larimer,colorado
"Valdosta, A City Without Limits",lowndes,georgia
Spotsylvania County Government,spotsylvania,virginia
Delaware County Ohio,ohio,kentucky
City of North Salt Lake,lake,illinois
Charleston County Government,charleston,south carolina
City of Claremore Government,rogers,oklahoma
"City of Lake Wales, Florida",lake,illinois
City of Camden Government,camden,new jersey
Gallatin City Government,gallatin,illinois
The City of Grand Rapids,grand,colorado
"City of Dyersburg, TN - Gov",dyer,tennessee
City of Ridgefield,fairfield,connecticut
"Franklin County Health Department, KY",franklin,florida
"City of New Rochelle, NY",westchester,new york
"City of Suwanee, Georgia - City Hall",hall,georgia
City of Brentwood - Local Government,contra costa,california
City of Toledo,lucas,ohio
"Tucker County, West Virginia",tucker,west virginia
"City of Battle Creek, MI Government",calhoun,mississippi
South Dakota Department of Health,dakota,minnesota
City of Marshall TX - City Hall,marshall,tennessee
City of Jonesboro Government,clayton,georgia
City of Green Bay Government,green,kentucky
"City of Franklin, Louisiana - Mayor's Office",st. mary,louisiana
Monroe County Board of Commissioners,monroe,pennsylvania
City of Pico Rivera,los angeles,california
City Government Biddeford Maine,york,maine
Lee County Kentucky Government,lee,iowa
City of Tampa,hillsborough,florida
"City of Duluth, Georgia - City Hall",hall,georgia
City of Marysville WA - government,snohomish,washington
City of Bryan - Government,bryan,georgia
"City of Conway, SC",horry,south carolina
Madison County Health Department,madison,tennessee
City of Spur Texas,texas,missouri
"City of Boulder City, NV",boulder,colorado
Mingo County Health Department,mingo,west virginia
Madera County Department of Public Health,madera,california
City of Imperial Beach Government,imperial,california
"City of Racine, On the lake",lake,illinois
North Liberty City Government,liberty,florida
"Frederick County, MD",frederick,virginia
City of Floresville,wilson,texas
"Bryan County, Georgia",bryan,georgia
Rapid City Municipal Government,pennington,south dakota
Logan County Health Department,logan,north dakota
"City of El Mirage, Arizona",maricopa,arizona
City Of Aliquippa,beaver,pennsylvania
"Cumberland County Health Department, Illinois",cumberland,illinois
"City of Norwalk, Iowa - City Hall",iowa,wisconsin
City of Washougal,clark,washington
City of Parma,cuyahoga,ohio
City of Stevens Point Government,stevens,washington
City of Ferndale (Government),oakland,michigan
"City of Boynton Beach, Government",palm beach,florida
City of Pompano Beach,broward,florida
City of Ketchikan,district 1,alaska
"Van Buren County, Tennessee",van buren,michigan
"City of Kirkwood, MO (Government)",st. louis county,missouri
Starr County Texas,texas,missouri
City of Northglenn Government,adams,colorado
"City of Harrison, Ohio - Government",ohio,kentucky
"City of Austin, Minnesota",mower,minnesota
Solano Public Health,solano,california
Jackson County Health Department,jackson,mississippi
"Baldwin County, AL Commission",baldwin,alabama
County of Northampton,northampton,virginia
City of Hermiston,umatilla,oregon
Henry County Government,henry,illinois
"Lyon County, Nevada",nevada,arkansas
"Prince George County, Va.",prince george,virginia
Moultrie County Health Department,moultrie,illinois
"City of Ward, Arkansas",arkansas,arkansas
"City of Sturgis, SD",meade,south dakota
Hamilton County Department of Public Health,hamilton,florida
City of Park Hills,park,montana
"City of Georgetown, Texas - Government",texas,missouri
Hawaii Department of Transportation,hawaii,hawaii
Wake County Government,wake,north carolina
City of Lexington - Government,lexington,virginia
City of Papillion - Municipal Government,sarpy,nebraska
"City of Elkhart, Indiana - Municipal Government",indiana,pennsylvania
"City of Richmond Hill, Georgia - Government",richmond,virginia
"City of Garden City, Michigan",garden,nebraska
City of Memphis,shelby,tennessee
"Hamilton County, Indiana",hamilton,florida
City of Dover NH,strafford,new hampshire
City of Kentwood,kent,michigan
Centreville City Hall,hall,georgia
City of Richland Missouri,richland,south carolina
Lake County Health Department and Community Health Center,lake,illinois
"City of Deerfield Beach, Florida - Government",broward,florida
City of La Vista Government,sarpy,nebraska
City of Enid Oklahoma Government,oklahoma,oklahoma
City of Tustin - Municipal Government,orange,california
"The City of Monroe, Michigan",monroe,michigan
City of Wisconsin Rapids,wood,wisconsin
McHenry County Government,mchenry,illinois
City of West Chicago Government,dupage,illinois
Warren County KY Gov,warren,kentucky
City of Warrensville Heights,cuyahoga,ohio
City of Grand Terrace,grand,colorado
"City of Cooper City, FL Government",cooper,missouri
Gila County Government,gila,arizona
"City of Monticello, MN",wright,minnesota
City of Bardstown - Government Organization,nelson,kentucky
Livingston County Health Department,livingston,missouri
City of Miami Beach Government,miami,kansas
Jefferson County Department of Health,jefferson,ohio
Barrow County Government,barrow,georgia
The City of Iowa City Government,iowa,wisconsin
"Johnson County, KS Government",johnson,indiana
"City of Newberry, SC Government",newberry,south carolina
City of Texas City,texas,missouri
Salt Lake City Government,lake,illinois
Summit County Health Department - Utah,summit,colorado
Rock Island County Health Department,rock,nebraska
"Hanover County, VA",hanover,virginia
City of Milwaukee Office of Violence Prevention,milwaukee,wisconsin
"City of Sun Prairie, Wisconsin, USA",dane,wisconsin
City of Bonita Springs,lee,florida
"The City of York, South Carolina",york,south carolina
"Burnett County, WI",burnett,wisconsin
"The City of Jackson, Michigan",jackson,michigan
St. Charles County Missouri - Government,charles,maryland
"City of Bangor, Maine - City Hall",hall,georgia
Smith County,smith,kansas
"City of Bowling Green, KY - Municipal Government",warren,kentukcy
City of Ames - City Government,story,iowa
City of Eugene Government,lane,oregon
City of Bridgeport WV,harrison,west virginia
"Powhatan County, Virginia",powhatan,virginia
City of Trotwood,montgomery,ohio
Thurston County Washington,washington,kansas
"Dauphin County, PA",dauphin,pennsylvania
Grand Forks Public Health Department,grand,colorado
Transit Authority of River City (TARC),tippecanoe,indiana
"City of Lebanon, PA Government",lebanon,pennsylvania
Healthy Fresno County,fresno,california
"City of Fircrest, Washington",washington,kansas
City of Chicopee - Mayor's Office,hampden,massachusetts
City of Smiths Station,lee,alabama
Dakota County Government,dakota,minnesota
Treasure Island City Hall,hall,georgia
Wright County MN,wright,iowa
Cologne City Hall,hall,georgia
City of Fairburn,fulton,georgia
"City of Dyer, Tennessee",dyer,tennessee
Medina County Courthouse,medina,texas
"Riverton, Utah - City Government",utah,utah
City of Jesup - City Hall,hall,georgia
Flagstaff City Government,coconino,arizona
"City of Tullahoma, TN - Government",coffee,tennesee
City of Wendell,wake,north carolina
City of Alvin - Government,brazoria,texas
City of Rahway,union,new jersey
City of South Padre Island,island,washington
Memphis Housing Authority,shelby,tennessee
City of Morgantown - City Hall,hall,georgia
San Joaquin County Public Health Services,san joaquin,california
"City of Fair Oaks Ranch, TX",bexar,texas
City of Spanish Fort,baldwin,alabama
Marion County Arkansas,marion,indiana
City of Cambridge,dorchester,massachusetts
City of Mitchellville,prince george's,maryland
Iowa County Health Department,iowa,wisconsin
Paulding County Health Department,paulding,ohio
City of Wautoma,waushara,wisconsin
Elkins City Hall,hall,georgia
City of Hastings Government,adams,nebraska
City of Kannapolis - Community News,cabarrus,north carolina
"City of Naperville, Illinois, Government",will,illinois
"City of Lynwood, CA - Government",los angeles,california
"City of Rowlett, Texas",texas,missouri
City of Estacada - Government,clackamas,oregon
Maricopa County,maricopa,arizona
"City of Shoreview, MN (Local Government)",ramsey,minnesota
"City of Rocklin, California Government",placer,california
City of Clinton (Government),clinton,michigan
The City of Upper Arlington - Government,arlington,virginia
Passaic County,passaic,new jersey
"Wheeling, WV City Government",ohio,west virginia
"City of Sebastopol, California",sonoma,california
City of La Mesa - City Hall,mesa,colorado
City of Eastlake,el pasa,texas
City of Cape Canaveral- Government,brevard,florida
City of Ranson,jefferson,west virginia
City of Holden,johnson,missouri
Lincoln County Health Department,lincoln,oregon
City of Stanwood,snohomish,washington
"City of Dixon, CA",solano,california
Eden Prairie - City Government,prairie,montana
"City of Brighton, MI Government",livingston,michigan
City of North Miami Beach Government,miami,kansas
"City of Brooklyn Park, MN - Local Government",hennepin,minnesota
Houston Health Department,houston,texas
Chesterfield County Virginia Government,chesterfield,south carolina
"City of Brighton, Colorado Government",colorado,texas
City of Durango - City Government,la plata,colorado
City of Warren Ohio Government,warren,kentucky
"City Government of Park City, Utah",park,montana
Harris County Public Health,harris,texas
Loudoun County Government,loudoun,virginia
Polk County Iowa,polk,missouri
City of Deer Park,park,montana
Oconee County GA Government,oconee,south carolina
"City of Huber Heights, Ohio - Government",ohio,kentucky
"Coldwater, Michigan - City Offices",la plata,colorado
"City of La Puente, California - Government",los angeles,california
Boone County Health Department,boone,kentucky
Williams County Commissioners,williams,ohio
"City of Linden, AL",marengo,alabama
City of Pearsall,frio,texas
"City of Lodi, WI",columbia,wisconsin
"Erie County, Ohio",ohio,kentucky
Brunswick County Government,brunswick,virginia
City of St. Louis Department of Health,st. louis county,missouri
City of South El Monte Government,los angeles,california
"Margate City, NJ",atlantic,new jersey
The City of Frederick,frederick,virginia
Lehi City,utah,utah
"Franklin County, PA",franklin,florida
Burlington County Health Department,burlington,new jersey
Storey County,storey,nevada
"Churchill County, NV",churchill,nevada
"City of Anoka, Minnesota",anoka,minnesota
"City of Sterling, Kansas",rice,kansas
City of Eagle Lake,lake,illinois
City of Ranger,gordon,georgia
Grant County Health Department,grant,arkansas
"City of Camden, AR",ouachita,arkansas
Henry County Health Department,henry,illinois
Marquette County Health Department,marquette,michigan
Iowa Department of Transportation,iowa,wisconsin
"City of Greenwood Village, Colorado Government",greenwood,kansas
City of Muskegon Government,muskegon,michigan
City of Cullman Municipal Government,cullman,alabama
City of Banning,riverside,california
"City of Beaumont, CA - City Hall",hall,georgia
Snohomish County Government,snohomish,washington
"City of Geneva, Municipality",geneva,alabama
"City of Manassas Park, VA",manassas,virginia
County of San Mateo - Government,san mateo,california
Montgomery County Government,montgomery,north carolina
City of Goleta Government,santa barbara,california
Jackson County - Missouri,jackson,mississippi
City of Richland Government,richland,south carolina
"New Hanover County Government, NC",new hanover,north carolina
"Skagit County, Washington - Government",washington,kansas
Amherst County,amherst,virginia
City of Oak Park,park,montana
City of Wasilla - The Administration,district 5,alaska
Olmsted County,olmsted,minnesota
Hyde County Public Information,hyde,north carolina
MCHD - Mobile County Health Department,mobile,alabama
Monterey County Health Department,monterey,california
"Burke County, Georgia",burke,north carolina
City of Shelbyville-City Hall,hall,georgia
Ottawa County Health Department,ottawa,kansas
City of Craig,craig,virginia
Muhlenberg County Health Department,muhlenberg,kentucky
Crescent City CA - City Hall,hall,georgia
"Kerr County, Texas",texas,missouri
City of Bronson,levy,florida
"The City of Platteville, Wisconsin",grant,wisconsin
Whitley County Health Department,whitley,kentucky
The City of Waukesha,waukesha,wisconsin
"City of Huntsville, Alabama - Government",madison,alabama
The City Of Annapolis,anne aurndel,maryland
Culver City - Local Government,los angeles,california
City of Framingham Municipal Offices,middlesex,massachusetts
"City of Golden Valley, MN - Local Government",hennepin,minnesota
Hennepin County Government,hennepin,minnesota
City of Rockville,montgomery,maryland
City of Flatwoods KY - Local Government,greenup,kentucky
"City of Lake Oswego, Local Government",lake,illinois
City of Oxnard Government,ventura,california
City of Casselberry,seminole,florida
"City of Wetumpka, AL Government",elmore,alabama
Grove City Ohio Government,ohio,kentucky
City of Owensboro KY - Mayor's Office,daviess,kentucky
Rockingham County NC,rockingham,virginia
City of Corsicana,navarro,texas
Montgomery County Alabama,montgomery,north carolina
The City of Redding,shasta,california
Santa Barbara County Public Health Department,santa barbara,california
Rice County Public Health,rice,minnesota
Warren County NY Public Health,warren,kentucky
City of Schertz,guadalupe,texas
"Henry County, Virginia",henry,illinois
City of Apache Junction Government,apache,arizona
"City of Milton, Wisconsin Government",rock,wisconsin
"City of Traer, Iowa",iowa,wisconsin
City of Ardmore - Government,carter,oklahoma
Putnam County GA,putnam,tennessee
Martin County Government,martin,texas
Cooper Co. Public Health Center,cooper,missouri
"City of Waverly, Minnesota",wright,minnesota
Bryan County Health Department of Oklahoma,oklahoma,oklahoma
"City of Brownsville, TN",haywood,tennessee
"Bingham County, Idaho",bingham,idaho
City of Chenoa,mclean,illinois
City of Wells,wells,north dakota
City of Covington Tennessee,covington,mississippi
Warren County North Carolina,warren,kentucky
Van Buren County Public Health,van buren,michigan
"City of Lynchburg, Virginia Government",montgomery,virginia
"City of Rochester, MN Government",olmsted,minnesota
"City of Springdale, AR - Mayor's Office",benton,arkansas
City of Fairmont- City Hall,hall,georgia
"The City of Long Branch, NJ",long,georgia
City of Fridley,anoka,minnesota
Arapahoe County Government,arapahoe,colorado
Charles County Government,charles,maryland
"Missoula County, Montana - Government",missoula,montana
"Gunnison County, CO Government",gunnison,colorado
Metro Nashville Public Health Department,davidson,tennessee
"City of Robbinsdale, MN - Government",hennepin,minnesota
Forsyth County North Carolina Government,forsyth,georgia
"City of Bullard, TX - Government",smith,texas
"City of Rock Hill, SC",rock,nebraska
City of Snoqualmie Government,king,washington
Carson City Nevada Government,nevada,arkansas
Baldwin County Board of Commissioners,baldwin,alabama
City of Sunny Isles Beach Government,miami-dade,florida
City of Hallandale Beach Government,broward,florida
Pender County,pender,north carolina
"Ramsey County, Minnesota",ramsey,minnesota
Lackawanna County,lackawanna,pennsylvania
Comanche County Health Department,comanche,oklahoma
Provo City Council,utah,utah
Gallatin County Government,gallatin,illinois
Escambia County,escambia,alabama
"City of Norwich, New York",york,pennsylvania
"The City of Fort Wright, KY",kenton,kentucky
City of Maywood CA,los angeles,california
Utah County Government,utah,utah
Eddy County,eddy,north dakota
Wright County Iowa,wright,iowa
Door County Public Health,door,wisconsin
"City of Dillingham, Alaska",district 37,alaska
City of Gibbon,sibley,minnesota
"City of Winnsboro, Texas",texas,missouri
City of Eagle Butte,butte,south dakota
The City of Cleveland,cleveland,oklahoma
Iron County Health Department,iron,missouri
City of Nitro,kanawha,west virginia
City and Borough of Wrangell,district 36,alaska
City of Leslie,leslie,kentucky
City of Winfield Missouri,lincoln,missouri
"City of Lebanon, Oregon",oregon,missouri
City Of Hughes Springs,hughes,south dakota
City of Lone Tree Government,douglas,colorado
Granville County Government,granville,north carolina
City of Berkley - Government & Community Services,oakland,michigan
"City of Northfield, Minnesota",rice,minnesota
City of Newport RI,newport,rhode island
City of Hoover,jefferson,alabama
City of Knoxville - Government,knox,tennessee
City of Cape Girardeau Municipal Government,cape girardeau,missouri
City of Tukwila - Government,king,washington
"Lampasas, TX - City Government",lampasas,texas
"City of Everett, WA - Govt",snohomish,washington
City of Rossford - Government,wood,ohio
City of Troup,troup,georgia
Union County NM,union,new mexico
"City of Coon Rapids, MN - Local Government",anoka,minnesota
"City of Anderson, SC - Local Government",anderson,south carolina
City of Hawaiian Gardens  Government,los angeles,california
"City of Ypsilanti, MI Government",washtenaw,michigan
The City of Yakima,yakima,washington
Williamson County Tennessee Government,williamson,tennessee
Provo City Government,utah,utah
Menasha Health Department,winnebago,wisconsin
City of Wolfforth,lubbock,texas
City of Alamo,bexar,texas
"City of Bloomington, IN - Office of the Mayor",monroe,indiana
OC Department of Public Health,orange,california
Spanish Fork City,utah,utah
Sandoval County Government,sandoval,new mexico
"City of Carlisle, Iowa",iowa,wisconsin
"Victoria County, TX",victoria,texas
City of Chino Hills - Municipal Government,san bernardino,california
City of Palm Desert,riverside,california
"City of Carson, CA",los angeles,california
Caldwell County NC,caldwell,kentucky
City of Altus - City Government,jackson,oklahoma
Williams County ND,williams,ohio
Jefferson County              Public Health,jefferson,ohio
City of Sandersville,washington,georgia
City of Poteet,atascosa,texas
City of Spooner,washburn,wisconsin
Hidalgo County,hidalgo,new mexico
Long Beach City,long,georgia
City of Sierra Madre - Government,sierra,new mexico
City of Grand Junction,grand,colorado
Shelby County Health Department,shelby,alabama
Ross County Health District,ross,ohio
City of Warner Robins Government,houston,georgia
City of Warren,warren,kentucky
Rensselaer County,rensselaer,new york
"City of Edina, MN (Local Government)",hennepin,minnesota
"City of Redmond, Washington -Government",washington,kansas
"City of University City, Missouri (Official)",st. louis county,missouri
"City of Lancaster, TX - Municipal Government",dallas,texas
"City of Hot Springs, Arkansas Government",arkansas,arkansas
City of Pasco Government,pasco,florida
City of Palm Beach Gardens City Hall,hall,georgia
Madera County,madera,california
"Curry County, NM",curry,oregon
City of Perryville Government,perry,arkansas
City of Steamboat Springs - Government,routt,colorado
"City of Helena, Local Government",lewis and clark,montana
City of Madison Heights,madison,tennessee
The City of Milledgeville,baldwin,georgia
"City of Roeland Park, KS",johnson,kansas
City of Yorba Linda City Hall,hall,georgia
McLean County Health Department,mclean,illinois
"City of San Pablo, CA",contra costa,california
"Benton County, Oregon",benton,tennessee
Ottawa County,ottawa,kansas
City of La Palma - Government,orange,california
"City of Grovetown, GA",columbia,gerogia
City of Oelwein,fayette,iowa
"Seward County, KS - Government",seward,kansas
"City of Bessemer, Michigan - Government",gogebic,michigan
City of Coffeyville,montgomery,kansas
"City of Newton & Jasper County, Illinois",jasper,iowa
"City of Evansville, WI",rock,wisconsin
City of Creswell,lane,oregon
Warren County Health Department NC,warren,kentucky
Lafayette County Health Department,lafayette,mississippi
City of Santa Monica - Government,los angeles,california
"City of Winter Haven, FL (City Gov't.)",polk,florida
"The City of Kalamazoo, Michigan",kalamazoo,michigan
Minneapolis Public Housing Authority,anoka,minnesota
City of Stephenville - City Hall,hall,georgia
"City of Highland Park, Illinois - Government",highland,virginia
"City of Williamsburg, Virginia - Municipal Government",james,virginia
OCNCGov,orange,north carolina
City of Orlando - Government,orange,florida
"City Bonner Springs, Kansas - Government",bonner,idaho
"City Government of DeWitt, Michigan",clinton,michigan
"The City of Greenville, Texas",texas,missouri
"El Paso County, Colorado",el paso,colorado
"City of Faribault, Minnesota - City Government",rice,minnesota
"Richmond County, NC",richmond,virginia
Vineyard City Government,utah,utah
"City of North Chicago, Illinois - Government",lake,illinois
"City of Caribou, Maine",aroostook,maine
City of Lauderhill,broward,florida
Fairbanks North Star Borough,district 1,alaska
York County SC,york,south carolina
City of Oberlin,lorain,ohio
City of Liberty Lake,lake,illinois
City of Litchfield Park,litchfield,connecticut
City of Wildomar - City Hall,hall,georgia
"Grundy County, Iowa",grundy,iowa
"Summit County, Utah",summit,colorado
Delaware County Health Department,delaware,oklahoma
City of Three Forks,gallatin,montana
Wright County Public Health,wright,iowa
City of Colwich,sedgwick,kansas
The City of Elmwood,peoria,illinois
"City of Clear Lake Shores, Texas",lake,illinois
City of Grosse Pointe Farms,wayne,michigan
"City of Peachtree Corners, Georgia",gwinnett,georgia
City of East Providence - Office of the Mayor,providence,rhode island
Woodford County Health Department KY,woodford,kentucky
City of Columbia Government,columbia,pennsylvania
City of Elmhurst,dupage,illinois
City of Manhattan Beach,los angeles,california
"City of Rancho Palos Verdes, CA",los angeles,california
The City of Petaluma - Government,sonoma,california
City of Shoreline City Hall,hall,georgia
Berkeley County Government,berkeley,west virginia
City and County of Denver Government,denver,colorado
Tri-County Health Department,MANUALLY TAG
"Shenandoah, TX - City Government",shenandoah,texas
Callahan County,callahan,texas
"City of Franklin, TN - Municipal Government",franklin,tennessee
Durham County Government,durham,north carolina
Platte County (MO) Health Department,platte,missouri
City of Wayzata (Local Government),hennepin,minnesota
City of Hopkinsville Local Government,christian,kentucky
City Beaufort SC,beaufort,south carolina
Routt County Colorado,routt,colorado
City of Taylor Mill,taylor,texas
Tulsa County,tulsa,oklahoma
"City of San Fernando, Government",los angeles,california
Williamsburg County Government,williamsburg,virginia
Sandy City,salt lake,utah
City of Sonoma,sonoma,california
Lancaster County Government,lancaster,virginia
"City of Lathrup Village, MI",oakland,michigan
City of Fraser City Hall,hall,georgia
LeFlore County Health Department,leflore,mississippi
City of San Dimas,los angeles,california
Jessamine County Health Department,jessamine,kentucky
"Jefferson County, Indiana Government",jefferson,ohio
Jones County NC,jones,iowa
Hampton County SC Government,hampton,south carolina
"City of Russellville, Alabama- Government",franklin,alabama
City of Edgerton,rock,wisconsin
"City of Olney, Texas",texas,missouri
Lafayette County Wisconsin,lafayette,mississippi
City of Guymon,texas,oklahoma
"Pasquotank County, North Carolina",pasquotank,north carolina
La Cygne City Hall,hall,georgia
"City of Fife, Washington",washington,kansas
Clay County Texas,clay,tennessee
City of Tioga,tioga,pennsylvania
Warren County Health Department,warren,kentucky
Kent County Health Department,kent,michigan
"City of Sherwood, Oregon Government",oregon,missouri
City of Fort Collins - Government,larimer,colorado
Hays County Texas - Official,texas,missouri
City of Ottawa Kansas Municipal Government,ottawa,kansas
San Juan County NM,san juan,washington
City of Rockledge - City Hall,hall,georgia
Adams County Health & Human Services Division of Public Health,adams,pennsylvania
City of Morton,morton,north dakota
"City of Roseville, MN",ramsey,minnesota
"City of Takoma Park, MD - Municipal Government",montgomery,maryland
Lodi City Hall,hall,georgia
"Travis County, Texas - Government",texas,missouri
City of Sanger TX,denton,texas
Fulton County Government,fulton,georgia
"City of Bedford, OH",cuyahoga,ohio
"City of Milpitas, City Government",santa clara,california
City Government of Union City,union,new mexico
The City of Albany,albany,new york
City of San Luis Obispo Government,san luis obispo,california
Peoria County Government,peoria,illinois
City of Eastpointe,macomb,michigan
"Lake County, Montana",lake,illinois
City of Glendale Wisconsin,milwaukee,wisconsin
City of Fillmore,fillmore,minnesota
"City of Fort Lupton, Colorado",colorado,texas
"Calhoun County, Georgia",calhoun,alabama
Oglethorpe County Health Department,oglethorpe,georgia
City of Pittsburg - Local Government,pittsburg,oklahoma
Dodge County Minnesota Administration,dodge,minnesota
Stutsman County,stutsman,north dakota
Baldwin County Health Department,baldwin,alabama
"West Point City, Utah",utah,utah
City of Wyoming - City Hall,wyoming,west virginia
"City of Crestview, City Hall",hall,georgia
Public Health Department of Santa Cruz County,santa cruz,california
"Gloucester, MA Health Department",essex,massachusetts
"Longview, Washington - City of Longview",washington,kansas
"City of Lynn, MA- Inspectional Services, Public Health Division",essex,massachusetts
"Douglas County, Wisconsin",douglas,kansas
The City of Pine Bluff,pine,minnesota
Bamberg County,bamberg,south carolina
Cottonwood Heights City,cottonwood,minnesota
"City of Monroeville, Alabama",monroe,alabama
City of Kotzebue,district 40,alaska
Las Animas County,las animas,colorado
City of Marine City,clare,michigan
City of Le Sueur,le sueur,minnesota
Woodward County Health Department,woodward,oklahoma
City of Cedarburg,ozaukee,wisconsin
City of Ocoee,orange,florida
Klamath County,klamath,oregon
Delaware County Council,delaware,oklahoma
City of Austin Government,austin,texas
"City Government of Goldsboro, NC",wayne,north carolina
City of Colorado Springs Government,colorado,texas
"City of Shelton, WA - Government",mason,washington
Unified Government Public Health Department,wyandotte,kansas
"City of Livingston, Montana",park,montana
Montezuma County Colorado,montezuma,colorado
City of Wakefield Michigan,gogebic,michigan
Somerset County Health Department,somerset,new jersey
City of Walnut,los angeles,california
Georgia Department of Transportation,MANUALLY TAG
"City of Coppell, TX Municipal Government",dallas,texas
It's In DeKalb,dekalb,indiana
Austin Public Health,austin,texas
"City of Brisbane, CA-City Hall",hall,georgia
"City of Altoona, Wisconsin - Government",eau claire,wisconsin
City of Conroe - Government,montgomery,texas
City of Avondale Estates,maricopa,arizona
City of Bronte,coke,texas
Collier County Florida,collier,florida
City of Rock Springs Government,rock,nebraska
City of Kenmore - Government,erie,new york
City of Aspen Government,pitkin,colorado
"Cedar Falls, Iowa, City Government",cedar,iowa
Knox County Government,knox,illinois
City of Monmouth,monmouth,new jersey
Petersburg VA,petersburg,virginia
City of Baldwin Park - Gov,baldwin,alabama
City of Albert Lea - City Hall,hall,georgia
"Northampton County, NC Local Government",northampton,virginia
Washington County of Utah,washington,kansas
City of North Augusta - Public Information,augusta,virginia
City of Brainerd,crow wing,minnesota
Pottawatomie County Health Department,pottawatomie,oklahoma
"Teton County, Wyoming",wyoming,west virginia
City of Dripping Springs,hays,texas
"Calvert County Government, Calvert County, Maryland",calvert,maryland
"City of Windsor Heights, Iowa",iowa,wisconsin
City of Shorewood,hennepin,minnesota
City of Black River Falls - Government,falls,texas
The City of Lisbon,st. lawrence,new york
"City of Pella, Iowa - Government",iowa,wisconsin
Craig County Health Department,craig,virginia
City of Page,page,iowa
City of Port Republic,republic,kansas
Petroleum County MT,petroleum,montana
City of Clarkfield,yellow medicine,minnesota
Pitt County Health Department,pitt,north carolina
City of Celeste,hunt,texas
City of Marinette,marinette,wisconsin
Lane County Kansas,lane,oregon
City of New  York Mills,york,pennsylvania
Town of Sneads - City Hall,hall,georgia
City of LaFollette,campbell,tennessee
City of Gulf Shores - Municipal Government,gulf,florida
"City of Rochester, NY - Mayor's Office",monroe,new york
City of Winter Springs,seminole,florida
"Williamson County, Texas - Government",texas,missouri
"Lawton Oklahoma, City Government",comanche,oklahoma
"Hood County, Texas",texas,missouri
City of Siloam Springs,benton,arkansas
"City of Claremont, NC",catawba,north carolina
"Jefferson County, Alabama",jefferson,ohio
"Alexander County, North Carolina",alexander,illinois
"County of Warren, VA",warren,virginia
City of Negaunee,marquette,michigan
"City of Harrison, Michigan",clare,michigan
City of Rosemead - City Hall,hall,georgia
"Delaware County, Indiana Government",delaware,oklahoma
Westchester County Department of Health,westchester,new york
"City of Azle, TX - Government",tarrant,texas
"Aurora, Colorado City Hall",hall,georgia
City of Burien Government,king,washington
"City of Chamblee, GA",dekalb,georgia
City of Robinson,mclennan,texas
"City of Eagle, Idaho",ada,idaho
Corpus Christi Regional Transportation Authority,nueces,texas
Ohio Department of Transportation - Dayton District 7,ohio,kentucky
City of Butler Indiana Government,butler,missouri
Asheville City Government,buncombe,north carolina
City of Wheat Ridge Government,jefferson,colorado
"Catawba County, North Carolina",catawba,north carolina
Broward County Government,broward,florida
City of Scotts Valley,valley,nebraska
